Dataset Name,Domain,Number of Variables at each time point,Number of Time Points,Time interval between points,Primary Source Repository,Link to Data,Detailed Description,Comments,Original Row #,Number of Versions,Reconciler Version,Reconciler Status,Reconciliation Notes,Added by Gemini,Informer,Monash TSER,UTSD,AutoGluon,Darts,TSLib,TSFM-Granite,TSFM-Core,TSFM-Bench,LOTSA,Prophet,NeuralForecast,Merlion,Aeon,DataLoop,NonUCR-UCI,UCR,UEA,MONSTER,Monash-Full,Monash-Common,Monash-small,M1,M2,M3,M4,M5,M6,TSB-UAD MOMENT,TSB-UAD Full,Hackernoon,Monash Moment,Kaggle TS,FastML,Time-LLM,AutoTimes,ST-LLM,LLM-Time,LLM-Mixer,LLM-prompt,LLM-PS,One Fits All,Lag-Llama,Chronos-Pre,Chronos-Eval1,Chronos-Eval2,ChronosBolt-Pre,ChronosBolt-Eval1,ChronosBolt-Eval2,ChronosX-Eval2,ChronosX-Synth,ChronosX-Pre,ChronosX-Eval1,TS-RAGZSEval,TS-RAGPreT,Tempo,TimeBench,InstructTime,LPTM-Pre,LPTM-Eval,TS2Vec-Bench,TS2Vec-PreT,Automixer,TTM-PreT,TTM-Eval,TTM-Bench,TSMamba-ZS,TSMamba-FullShot,TimeGPT,GHPT,TimesNet,TimesFM,Time-MOE,Timer-XL,LightGTS,CiK,NSF HDR,MLCommons-EQ
ANIMAL,Corporate,1,82,Monthly,International Institute of Forecasters (IIF),M2 Competition Data (M2CAll.xls),A monthly corporate time series from the M2 Forecasting Competition. This series was provided by one of four collaborating companies and was anonymized.,"Part of a set of 29 series used in a real-time, two-round competition structure. Data was obfuscated using a constant multiplier to ensure confidentiality.",11,2,22,Auto-reconciled (1 unique source) on 2025-08-04 15:17:00,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
Anomalous Gravitational-Wave Transients,Astrophysics,"Multiple (e.g., detector channels, noise characteristics)","Not explicitly stated, but covers multiple data epochs","Not explicitly stated, but expected to be high-frequency (e.g., kHz sampling)","LIGO-Virgo Collaboration, Gravitational Waves Open Science Center (GWOSC)",Not explicitly provided in research material; likely via GWOSC or challenge platform (Codabench/GitHub),"Housed signals from LIGO data, designed to detect faint astrophysical signals (e.g., binary black hole mergers) against noisy backgrounds. Includes real detector data and injected signals/glitches.","Part of a machine learning anomaly detection challenge. Data underwent preprocessing (whitening, band-passing). Focuses on transient signals. 7",12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
Anomalous Sea Level Rise (iHARP HDR Anomaly Challenge),Polar Science / Environmental Science,"12 (for tide gauge stations), plus multiple for gridded data (SLA, ADT, currents)","Approx. 184,000 (21 years x 365.25 days x 24 hours) per station",Hourly,"US East Coast Tide Gauge Stations, Copernicus Satellite Observations",Not explicitly provided in research material; likely via challenge platform (Codabench/GitHub),"Core dataset includes hourly sea-level measurements from 12 tide gauge stations (1993-2013). Complementary Copernicus dataset provides gridded sea-level elevation values across the Atlantic Ocean for the same period. Includes Sea Level Anomalies (SLA), Absolute Dynamic Topography (ADT), and geostrophic currents.","Part of a machine learning anomaly detection challenge. Designed for detecting fluctuations and predicting flooding. Training, public testing, and private testing datasets are available. 4",13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,
AppliancesEnergy,Energy Monitoring,24,144,10 minutes,UCI Machine Learning Repository,Link,"The task is to predict the total energy consumption of appliances in a home. The input is a multivariate time series with 24 dimensions, including temperature and humidity data from various sensors inside and outside the house, recorded over a 24-hour period (144 points at 10-minute intervals). The target is the total appliance energy use over that same period.","This is a highly multivariate problem. The large number of variables (24) presents a significant challenge in feature selection and handling potential collinearity between sensor readings. The model must learn to integrate information from diverse sources (temperature, humidity, weather data) to predict a single aggregate value.",14,1,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Application,E-commerce / IT Observability,"39 (4 Biz-KPIs, 35 IT Events)",8834,10 seconds,GitHub (Instana),Stan's Robot Shop Repo,"Similar to the 'Service' dataset, but KPIs are aggregated at the level of the entire application rather than individual services. Uses the same underlying data-generating process.","Represents a higher-level, lower-dimensional view of the same system as the 'Service' dataset. Data generation process is identical.",15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,
ArabicDigits (AD),Speech Recognition / Audio,13 (Mel Frequency Cepstral Coefficients - MFCCs),"Not explicitly stated for each time series, but 13 MFCCs correspond to one analysis frame. Average recording length: 1 second.",11025 Hz sampling rate,"UCI repository, Hugging Face",Timeseriesclassification.com SpokenArabicDigits:  Hugging Face Spoken Arabic Digits: https://huggingface.co/datasets/mohnasgbr/spoken-arabic-digits,"Comprises audio recordings of spoken Arabic digits from zero to nine, from 88 speakers. Structured as time series data representing acoustic features of speech (MFCCs).",Used for cross-domain transfer learning. Augmented using speed/pitch perturbation and noise addition.,16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
ArrowHead,Image (Anthropology),1 (Univariate),251,Not explicitly stated; derived from image outline conversion using an angle-based method.,"UCR Time Series Classification Archive (timeseriesclassification.com, cs.ucr.edu)",https://www.timeseriesclassification.com/description.php?Dataset=ArrowHead,"This dataset consists of outlines of arrowhead images converted into time series using an angle-based method.  The classification task is to distinguish between three types of arrowheads (""Avonlea,"" ""Clovis,"" and ""Mix"") based on shape distinctions, such as the presence and location of notches. This version of the dataset is length-normalized and is used for time series classification research. It is a relatively simple 3-class problem, often used for sanity checks and algorithm illustration. The original data was donated by L. Ye & E. Keogh.","Contains 211 instances in total, split into 36 training instances and 175 testing instances.",17,7,22,Reconciled on 2025-08-04 15:17:10,,,,,,,Y,,,,,,,,Y,X,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
ArticularyWordRecognition,Motion,9,144,"Uniform (200Hz sampling rate, thus 0.005 seconds or 5 milliseconds)",timeseriesclassification.com,https://www.timeseriesclassification.com/description.php?Dataset=ArticularyWordRecognition,"This dataset consists of articulatory movement data collected from multiple native English speakers pronouncing 25 different words.  Electromagnetic articulography (EMA) sensors tracked the motion of the tongue and lips.  From the original 12 sensors recording x, y, and z coordinates (36 dimensions total), 9 dimensions are selected for this dataset. The task is to classify the spoken word based on these 9 time series. The sensors used in the data collection were placed on the forehead, tongue (from tip to back), lips, and jaw.  Head movements were compensated by using readings from three head sensors attached to glasses.","Although both sources describe the data as lip motion, the broader context suggests that the 9 dimensions used likely include tongue and possibly jaw movements as well, since more sensors were used than just those on the lips. The original sampling rate was 200Hz according to the additional sources.",18,7,22,Reconciled on 2025-08-04 15:18:03,,,,,,,Y,,,,,,,,Y,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
Artificial datasets,Synthetic/Artificial,Not specified,Not specified,Not specified,UCR archive (UCR2018-NEW),Download Artificial Datasets,These are constructed based on UCR2018-NEW.,Transformed/constructed from UCR2018-NEW.,19,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtrialFibrillation,Health,2 (ECG signals),"90,000,000",128 Hz,Qingren/TSFM-ScalingLaws-Dataset,https://huggingface.co/datasets/Qingren/TSFM-ScalingLaws-Dataset,Electrocardiogram (ECG) recordings for the classification of atrial fibrillation. High-frequency physiological signal data intended for Time Series Forecasting Methods (TSFMs).,A critical medical diagnostic task. The discriminatory features are often subtle morphological differences and timing variations between the two leads. Represents a common use case for MTSC in healthcare where multiple sensors monitor a single physiological system.,20,1,22,Split into 3 records on 2025-08-04 15:19:00,"Multiple Datasets

The `AtrialFibrillation` entries describe three distinct datasets:

1. **A high-frequency ECG dataset from Hugging Face:** This dataset has a very high number of data points (90,000,000) sampled at 128Hz.  This strongly suggests continuous ECG data suitable for time series forecasting methods (TSFM).

2. **The UCR/UEA Atrial Fibrillation Classification Dataset:** This dataset has 640 time points per instance and is explicitly designed for time series classification. The UCR and UEA sources refer to the same dataset, with UEA providing additional context about its use in multivariate time series classification (MTSC). The UTSD source likely also points to this same dataset but contains erroneous ""Number of Time Points"".

3. **PhysioNet Atrial Fibrillation Dataset:** The web search results describe additional Atrial Fibrillation datasets available on PhysioNet.  While they also involve ECG data, they have different characteristics than the UCR/UEA dataset (e.g., 5-second segments sampled at 128Hz, 10-hour recordings sampled at 250 Hz) and distinct associated publications.",,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtrialFibrillation,ECG,2,640,Uniform,timeseriesclassification.com,https://www.timeseriesclassification.com/description.php?Dataset=AtrialFibrillation,"This multivariate ECG dataset is used for classifying heartbeats into 3 categories, including atrial fibrillation, from 2-channel ECG recordings. It consists of 15 training and 15 testing instances and is part of the UEA multivariate archive. The goal is to distinguish between three classes: atrial fibrillation (AF), atrial flutter (AFL), and normal sinus rhythm (NSR).",A critical medical diagnostic task. The discriminatory features are often subtle morphological differences and timing variations between the two leads. Represents a common use case for MTSC in healthcare where multiple sensors monitor a single physiological system.,20,8,22,Split into 3 records on 2025-08-04 15:19:00,,,,,X,,Y,,,,,,,,Y,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,Y,,,,
AtrialFibrillation (Multiple PhysioNet datasets),ECG,2 (typically),"Varies depending on the specific PhysioNet dataset. Examples include 5-second segments sampled at 128 Hz, and 10-hour recordings sampled at 250Hz.","Varies (e.g., 128 Hz, 250 Hz)",PhysioNet,(See PhysioNet website for links to individual datasets),"PhysioNet hosts several datasets related to Atrial Fibrillation.  These datasets vary in length, sampling rate, and specific research focus (e.g., spontaneous termination prediction, general AF classification).  Refer to the PhysioNet website for detailed descriptions of individual datasets.",Gemini-identified sources: (None from the initial source list. This record is based on web search verification.),20,1,22,Split into 3 records on 2025-08-04 15:19:00,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audio Data,Audio,N/A (Samples/Channels),Variable,Variable,"User's Cloud Storage (AWS S3, GCP, Azure Blob Storage), Dataloop Internal Storage",Dataloop Supported Formats,"Supports WAV, MP3, OGG, FLAC, M4A, AAC. Used for speech recognition, audio event detection. Dataloop offers dedicated Audio Annotation Studio.",Conversion of FLAC to MP3 is recommended to reduce file size.9,21,1,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtrialFibrillation (Multiple PhysioNet datasets),ECG,2 (typically),"Varies depending on the specific PhysioNet dataset. Examples include 5-second segments sampled at 128 Hz, and 10-hour recordings sampled at 250Hz.","Varies (e.g., 128 Hz, 250 Hz)",PhysioNet,(See PhysioNet website for links to individual datasets),"PhysioNet hosts several datasets related to Atrial Fibrillation.  These datasets vary in length, sampling rate, and specific research focus (e.g., spontaneous termination prediction, general AF classification).  Refer to the PhysioNet website for detailed descriptions of individual datasets.",Gemini-identified sources: (None from the initial source list. This record is based on web search verification.),20,1,22,Split into 3 records on 2025-08-04 15:19:00,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AudioMNIST,Audio,1,47998,20.83mus (1/48 kHz),"Becker, S. et al. (2018). AudioMNIST: A simple benchmark for audio analysis. 1",monster-monash/AudioMNIST,"This dataset consists of 30,000 audio recordings of 60 different speakers (48 male, 12 female) pronouncing the English digits 0-9.2 The recordings were captured at a high sampling rate of 48 kHz. The primary classification task is to identify the spoken digit from the raw audio waveform. The dataset includes speakers with a diverse range of accents, although a majority are reported to have a German accent.4","The extreme length of the time series (47,998 points) presents a significant computational challenge for many models. The cross-validation folds are based on the speaker, ensuring that models are tested on their ability to generalize to new voices, not just new recordings from familiar speakers. This tests for speaker-independent digit recognition.5",22,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AudioMNIST-DS,Audio,1,4000,250mus (1/4 kHz),"Becker, S. et al. (2018). AudioMNIST: A simple benchmark for audio analysis. 1",monster-monash/AudioMNIST-DS,"This is a downsampled version of the AudioMNIST dataset. The original 48 kHz recordings have been resampled to 4 kHz, resulting in a much shorter time series length of 4,000 points. The task remains the same: classify the spoken digit from 0-9 based on the audio signal.5","This dataset provides a less computationally intensive alternative to the full AudioMNIST, allowing for faster experimentation. It presents a different challenge: classifying digits from a lower-fidelity signal, which may require models to learn more robust features. The speaker-based cross-validation split is maintained.5",23,1,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus. Electricity Demand (Operational),Energy,1,"230,736 - 232,272",30 minutes,Monash University,https://zenodo.org/record/4659727,"Half-hourly operational electricity demand for Australia, excluding rooftop solar and other decentralized generation.  This dataset represents the demand met by scheduled generating units.","Focuses on ""operational demand,"" making it suitable for modeling grid supply patterns. The number of time points suggests data spanning multiple years. Source mentions 5 Australian states though it describes it as univariate, so clarification on data organization is needed.",24,1,22,Split into 2 records on 2025-08-04 15:19:54,"Multiple Datasets

Reasoning: While both sources pertain to Australian electricity demand and share the same name and a connection to Monash University, key differences suggest they are distinct datasets:

* **Number of Variables:** 'Monash Moment' describes a univariate dataset (1 variable), while 'UTSD' describes a multivariate dataset (5 variables).
* **Number of Time Points:**  'Monash Moment' lists a substantially higher number of time points (230,736 - 232,272) compared to 'UTSD' (1.16, which appears to be an error, possibly meant to represent millions).  Even accounting for potential unit discrepancies, the difference is too large to reconcile.
* **Detailed Description:** 'Monash Moment' emphasizes ""operational demand"" (excluding rooftop solar), while 'UTSD' provides no such qualification, implying total demand.
* **Link to Data:** The links point to different repositories, further reinforcing the idea of separate datasets. 'Monash Moment' points to a dataset on Zenodo. 'UTSD' mentions a dataset on Monash Time Series Repository (though without a specific URL).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aus. Electricity Demand (State-Level),Energy,5,"Likely in the millions, though the source value '1.16' is unclear and requires verification.",30 minutes,Monash Time Series Repository,Requires verification and a concrete URL from the Monash Time Series Repository.,"Multivariate time series dataset containing half-hourly electricity demand for five Australian states (Victoria, NSW, Queensland, Tasmania, SA). Useful for multivariate forecasting models.","The number of data points needs clarification. The source description suggests this is a ""classic and widely used benchmark,"" indicating its importance in the field.",24,2,22,Split into 2 records on 2025-08-04 15:19:54,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,
AusBeerDataset,Economics / Manufacturing,Univariate: Megalitres (Quarterly Australian beer production),218,Quarterly,Australian Bureau of Statistics (ABS) / TSDL,"The data originates from the Australian Bureau of Statistics (Cat. 8301.0.55.001).21 It is included in Rob Hyndman's TSDL, which is the likely direct source for",darts.,"DOI: 10.24432/C59K5F Contains hourly averaged responses from metal oxide chemical sensors embedded in an Air Quality Chemical Multisensor Device in a polluted area, recorded from March 2004 to February 2005.",25,1,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Electricity (Demand),Energy/Electricity Demand,1,230736-232272 (min/avg/max),30 minutes (30min),Australian Energy Market Operator (AEMO),https://aemo.com.au/energy-systems/electricity/national-electricity-market-nem/data-nem/data-dashboard-nem,Half-hourly electricity demand data from 5 states in Australia.,This dataset provides detailed electricity demand patterns across major Australian states.,26,2,22,Split into 3 records on 2025-08-04 15:20:38,"Multiple Datasets

**Reasoning:** While all three sources pertain to Australian electricity data, there are key differences that point to distinct datasets:

* **Source 1 (Chronos-Eval2):** Focuses solely on half-hourly electricity *demand* from 5 states, sourced directly from AEMO.
* **Source 2 (ChronosBolt-Eval2):** Includes *demand, generation, and flows* data, also originating from AEMO but accessed via Mendeley Data.  While the description mentions 2021 data for renewable generators, the comments suggest the actual dataset used likely spans a larger timeframe.  Critically, the inclusion of generation and flow data differentiates it from Source 1.
* **Source 3 (ChronosX-Eval2):** Specifically describes electricity *generation* data by fuel type, hosted on Hugging Face.  This dataset has 6 variables at each time point representing different fuel types, making it distinct from the demand-focused datasets.

Therefore, there are at least three distinct datasets here.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
Australian Electricity (Generation & Demand),Energy,"Multiple (e.g., demand, generation, flows)",231052,30min,Mendeley Data,https://data.mendeley.com/datasets/jdxkcsxdhd/1,"Contains electricity demand and generation data from 5 states in Australia, including data from 116 renewable generators. While the Mendeley entry highlights 2021 data, it is suspected that the dataset used encompasses a broader time period.",Original data sourced from AEMO.,26,1,22,Split into 3 records on 2025-08-04 15:20:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Electricity (Generation by Fuel Type),Energy,6 (Electricity Generation by Fuel Type),231052 (avg),30 minutes,Hugging Face / Australian Energy Statistics,https://huggingface.co/datasets/autogluon/chronos_datasets,"Electricity generation data by fuel type (coal, gas, oil, solar, wind, hydro) for Australia.",Contains 5-6 time series (discrepancy between 'Number of Variables' and comment noted).,26,1,22,Split into 3 records on 2025-08-04 15:20:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
australian_electricity_demand,Energy,5 (Multivariate - representing 5 states),"230,736 - 232,272",30 Minutes (30T),Monash Time Series Forecasting Repository / Zenodo,https://zenodo.org/record/4659727,"Contains half-hourly electricity demand for 5 Australian states (Victoria, New South Wales, Queensland, Tasmania, South Australia) from 2002 to 2015. The data was originally sourced from the R tsibbledata package and is a canonical example of high-frequency data with multiple, strong seasonalities (daily, weekly, annual).",Useful for training models to decompose complex temporal patterns. The slight variation in the total number of data points might be due to different versions or data cleaning processes.,27,5,22,Split into 2 records on 2025-08-04 15:21:30,"Multiple Datasets. While all sources seem to refer to Australian electricity demand data, there are significant discrepancies in the number of time points, indicating the existence of at least two distinct datasets: one with approximately 230,000-240,000 time points, and another with around 2,400,000 points.  Differences in links and descriptions further support this conclusion.  Source 1 appears to conflate information, referencing both univariate and the Monash multivariate dataset. Source 7 also seems to round the number of data points significantly, creating ambiguity.",,,,,X,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
